id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
663905,"Blankenhorn, Travis",58,0.920634921,45,73.50668,0.344827586,0.222222222,0.172413793,0.133333333,0.103448276,7.177088103,0,-3.94461071,13,0.224137931,20,0.344827586
682626,"Alvarez, Francisco",499,0.912248629,364,73.47413617,0.372745491,0.313186813,0.228456914,0.164835165,0.120240481,7.229366713,8,-11.26332818,135,0.270541082,193,0.386773547
687401,"Ortiz, Joey",722,0.907035176,614,73.43114061,0.351800554,0.270358306,0.229916898,0.127035831,0.108033241,7.528177784,8,-7.50580396,108,0.149584488,311,0.430747922
664040,"Lowe, Brandon",770,0.900584795,545,73.42883108,0.35974026,0.308256881,0.218181818,0.172477064,0.122077922,7.122046818,27,-6.537779491,225,0.292207792,254,0.32987013
676369,"Velázquez, Nelson",350,0.906735751,235,73.39975974,0.345714286,0.319148936,0.214285714,0.136170213,0.091428571,7.468902,5,-12.0731442,115,0.328571429,125,0.357142857
592626,"Pederson, Joc",662,0.900680272,508,73.37309378,0.371601208,0.289370079,0.222054381,0.159448819,0.122356495,7.693515378,10,1.665983602,154,0.232628399,223,0.336858006
668904,"Lewis, Royce",563,0.9008,418,73.31322021,0.360568384,0.265550239,0.197158082,0.126794258,0.094138544,7.748036838,13,-8.441342794,145,0.257548845,204,0.362344583
663993,"Lowe, Nathaniel",903,0.905717151,736,73.31284667,0.293466224,0.282608696,0.2303433,0.152173913,0.124031008,7.269485692,23,-14.39900978,167,0.184939092,348,0.38538206
493329,"Gurriel, Yuli",106,0.876033058,85,73.30986226,0.283018868,0.341176471,0.273584906,0.176470588,0.141509434,7.997680755,2,-2.939826751,21,0.198113208,39,0.367924528
664913,"Brown, Seth",685,0.912117177,498,73.30077019,0.281751825,0.309236948,0.224817518,0.144578313,0.105109489,7.207996745,14,-16.06761559,187,0.272992701,229,0.334306569
671056,"Herrera, Iván",384,0.909952607,290,73.29803164,0.3359375,0.324137931,0.244791667,0.179310345,0.135416667,7.466936849,1,-2.408414158,94,0.244791667,154,0.401041667
666139,"Lowe, Josh",765,0.905325444,522,73.29749417,0.326797386,0.281609195,0.192156863,0.134099617,0.091503268,7.15005617,9,-10.98283916,243,0.317647059,214,0.279738562
669261,"Suwinski, Jack",404,0.903803132,296,73.28816785,0.326732673,0.27027027,0.198019802,0.125,0.091584158,7.25959047,7,-17.91356129,108,0.267326733,133,0.329207921
607043,"Nimmo, Brandon",1047,0.911227154,820,73.26807954,0.348615091,0.309756098,0.242597899,0.154878049,0.121298949,7.293659799,15,-23.03073105,227,0.216809933,376,0.359121299
669221,"Murphy, Sean",431,0.905462185,315,73.26541859,0.389791183,0.311111111,0.22737819,0.136507937,0.099767981,7.861891415,10,-10.47771753,116,0.269141531,155,0.35962877
650490,"Díaz, Yandy",902,0.909274194,788,73.25805834,0.34368071,0.365482234,0.319290466,0.219543147,0.191796009,7.516551718,2,-19.20532458,114,0.126385809,414,0.458980044
606192,"Hernández, Teoscar",1106,0.90507365,744,73.23448958,0.317359855,0.295698925,0.198915009,0.185483871,0.12477396,7.76168585,29,-2.595935644,362,0.327305606,349,0.315551537
521692,"Perez, Salvador",1143,0.904988124,848,73.21971848,0.333333333,0.336084906,0.249343832,0.175707547,0.130358705,7.930436465,15,-11.38640758,295,0.258092738,420,0.367454068
518792,"Heyward, Jason",429,0.905063291,344,73.21022028,0.272727273,0.26744186,0.214452214,0.136627907,0.10955711,8.224275991,7,-10.74288313,85,0.198135198,156,0.363636364
669357,"Gorman, Nolan",632,0.9002849,418,73.20325353,0.30221519,0.26076555,0.172468354,0.141148325,0.09335443,7.526733354,16,-12.40597419,214,0.338607595,188,0.297468354
681546,"Outman, James",202,0.897777778,125,73.18221158,0.311881188,0.256,0.158415842,0.112,0.069306931,7.850739059,7,-11.40099336,77,0.381188119,50,0.247524752
592663,"Realmuto, J.T.",650,0.910364146,493,73.18122874,0.356923077,0.296146045,0.224615385,0.168356998,0.127692308,7.645098246,8,-4.868276131,157,0.241538462,238,0.366153846
592885,"Yelich, Christian",466,0.904854369,363,73.17993828,0.345493562,0.330578512,0.25751073,0.179063361,0.139484979,7.516402961,9,-4.660673256,103,0.221030043,184,0.394849785
